timestamp,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz
1772499297.9341228,3.9207050800323486,-85.4346923828125,-95.8864974975586,-83.53416442871094,87.5877914428711,13.579753875732422,407.41754150390625,-65.06755828857422,285.4346008300781,95.56787872314453,-1.1283739805221558,-99.82230377197266
1772499298.0418746,3.9207050800323486,-85.4346923828125,-95.88627624511719,-83.53438568115234,87.58822631835938,13.579971313476562,407.41748046875,-65.06507873535156,285.4361572265625,95.56777954101562,-1.1279319524765015,-99.82247924804688
1772499298.1509702,3.9207050800323486,-85.4344711303711,-95.8864974975586,-83.53416442871094,87.5877914428711,13.579753875732422,407.41705322265625,-65.06759643554688,285.4361267089844,95.5680923461914,-1.1283222436904907,-99.82231140136719
1772499298.260515,3.9207050800323486,-85.4346923828125,-95.8864974975586,-83.53438568115234,87.5877914428711,13.579753875732422,407.4164733886719,-65.06763458251953,285.4344482421875,95.56766510009766,-1.1284255981445312,-99.82230377197266
1772499298.3699896,3.9207050800323486,-85.4344711303711,-95.8864974975586,-83.53438568115234,87.5880126953125,13.579971313476562,407.41595458984375,-65.0662612915039,285.4360046386719,95.56783294677734,-1.1281423568725586,-99.82250213623047
1772499298.478343,3.9207050800323486,-85.4346923828125,-95.8864974975586,-83.53438568115234,87.5880126953125,13.579971313476562,407.4164733886719,-65.06622314453125,285.4344787597656,95.56761932373047,-1.1281940937042236,-99.82250213623047
1772499298.5870547,3.9209225177764893,-85.4346923828125,-95.88627624511719,-83.53438568115234,87.5877914428711,13.579753875732422,407.4178466796875,-65.06600952148438,285.43609619140625,95.56787872314453,-1.1283739805221558,-99.82209014892578
1772499298.6948452,3.9207050800323486,-85.4346923828125,-95.88671112060547,-83.53438568115234,87.5880126953125,13.579753875732422,407.4153137207031,-65.06663513183594,285.4328308105469,95.5674057006836,-1.1282668113708496,-99.82228088378906
1772499298.8034666,3.9207050800323486,-85.4346923828125,-95.8864974975586,-83.53438568115234,87.5877914428711,13.579971313476562,407.4165344238281,-65.06729888916016,285.4344482421875,95.56767272949219,-1.1284044981002808,-99.82251739501953
1772499298.9118354,3.9207050800323486,-85.43490600585938,-95.8864974975586,-83.53416442871094,87.5877914428711,13.579971313476562,407.4181213378906,-65.06719207763672,285.4330749511719,95.56767272949219,-1.1284044981002808,-99.82251739501953
1772499299.0207198,3.9207050800323486,-85.4344711303711,-95.8864974975586,-83.53438568115234,87.5877914428711,13.579971313476562,407.4160461425781,-65.06733703613281,285.43597412109375,95.56787872314453,-1.1283528804779053,-99.82252502441406
1772499299.130842,3.9207050800323486,-85.4346923828125,-95.8864974975586,-83.53438568115234,87.5880126953125,13.579753875732422,407.4164123535156,-65.06655883789062,285.4344787597656,95.56761169433594,-1.1282151937484741,-99.82228088378906
1772499299.2400775,3.9207050800323486,-85.4346923828125,-95.88627624511719,-83.53438568115234,87.5877914428711,13.579971313476562,407.4176330566406,-65.06722259521484,285.43609619140625,95.56787872314453,-1.1283528804779053,-99.82252502441406
1772499299.3506484,3.8987324237823486,-85.91504669189453,-95.45269775390625,-83.49565887451172,87.58866119384766,13.5556058883667,410.8829040527344,-65.01808166503906,285.3775939941406,95.55937957763672,-1.1317838430404663,-99.82000732421875
1772499299.458533,3.8230247497558594,-87.12223815917969,-94.3288345336914,-83.41472625732422,87.5951919555664,13.482073783874512,419.66510009765625,-65.04703521728516,285.3487243652344,95.55406951904297,-1.1331541538238525,-99.82185363769531
1772499299.5684664,3.749274730682373,-88.35813903808594,-93.13751983642578,-83.35533905029297,87.60171508789062,13.409193992614746,428.7626647949219,-65.063232421875,285.41668701171875,95.56548309326172,-1.1304166316986084,-99.82271575927734
1772499299.6780293,3.605473518371582,-90.95113372802734,-90.561279296875,-83.33140563964844,87.614990234375,13.268655776977539,447.7781066894531,-65.07719421386719,285.4286193847656,95.56661987304688,-1.1295199394226074,-99.82550048828125
1772499299.8808768,3.5284605026245117,-92.42634582519531,-89.03951263427734,-83.37078094482422,87.6221694946289,13.19316577911377,458.6258239746094,-65.08324432373047,285.43548583984375,95.57047271728516,-1.1282267570495605,-99.82682800292969
1772499300.003714,3.4647181034088135,-93.75318908691406,-87.6410903930664,-83.4471435546875,87.62825775146484,13.124855041503906,468.3294372558594,-65.07463836669922,285.3977966308594,95.56307220458984,-1.1300525665283203,-99.8218994140625
